Loading model ...

Making model...
Loading data info ...

testsets/Urban100/img_082.png input 7.63, PSNR 43.56 SSIM 0.990584
testsets/Urban100/img_083.png input 6.24, PSNR 43.30 SSIM 0.997508
testsets/Urban100/img_084.png input 9.88, PSNR 36.64 SSIM 0.971765
testsets/Urban100/img_085.png input 11.73, PSNR 38.50 SSIM 0.986438
testsets/Urban100/img_086.png input 7.50, PSNR 46.02 SSIM 0.996354
testsets/Urban100/img_087.png input 7.43, PSNR 39.65 SSIM 0.981159
testsets/Urban100/img_088.png input 7.61, PSNR 33.04 SSIM 0.979659
testsets/Urban100/img_089.png input 7.63, PSNR 44.97 SSIM 0.995463
testsets/Urban100/img_090.png input 10.88, PSNR 47.45 SSIM 0.994788
testsets/Urban100/img_091.png input 6.20, PSNR 33.45 SSIM 0.964239
testsets/Urban100/img_092.png input 5.22, PSNR 44.61 SSIM 0.998409
testsets/Urban100/img_093.png input 7.02, PSNR 43.12 SSIM 0.993678
testsets/Urban100/img_094.png input 8.38, PSNR 39.06 SSIM 0.970438
testsets/Urban100/img_095.png input 8.66, PSNR 46.48 SSIM 0.999449
testsets/Urban100/img_096.png input 7.65, PSNR 42.83 SSIM 0.994795
testsets/Urban100/img_097.png input 6.61, PSNR 38.64 SSIM 0.989731
testsets/Urban100/img_098.png input 10.51, PSNR 34.36 SSIM 0.986447
testsets/Urban100/img_099.png input 7.81, PSNR 32.12 SSIM 0.955852
testsets/Urban100/img_100.png input 7.84, PSNR 27.09 SSIM 0.889690

PSNR on test data 40.339001
SSIM on test data 0.985584
